PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked_Q,Embarked_S,FamilySize
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,-1.180535207645204,0,0,350406,-0.4902797934380587,False,True,-0.5609748304808925
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,1.9703083685277345,0,0,248706,-0.3262666585535892,False,True,-0.5609748304808925
17,0,3,"Rice, Master. Eugene",0,-2.1027333275006983,4,1,382652,-0.0619988892296846,True,False,2.5396987052416584
18,1,2,"Williams, Mr. Charles Eugene",0,-0.1046374011471275,0,0,244373,-0.3866707201133388,False,True,-0.5609748304808925
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,0.125912128816746,1,0,345763,-0.2859972841804228,False,True,0.0591598766636176
20,1,3,"Masselmani, Mrs. Fatima",1,-0.1046374011471275,0,0,2649,-0.5029485386158568,False,False,-0.5609748304808925
21,0,2,"Fynney, Mr. Joseph J",0,0.4333115021019107,0,0,239865,-0.1249197866877571,False,True,-0.5609748304808925
22,1,2,"Beesley, Mr. Lawrence",0,0.3564616587806195,0,0,248698,-0.3866707201133388,False,True,-0.5609748304808925
23,1,3,"McGowan, Miss. Anna ""Annie""",1,-1.1036853643239128,0,0,330923,-0.4867562231804066,True,False,-0.5609748304808925
24,1,1,"Sloper, Mr. William Thompson",0,-0.1046374011471275,0,0,113788,0.0663597415847833,False,True,-0.5609748304808925
25,0,3,"Palsson, Miss. Torborg Danira",1,-1.6416342675729512,3,1,349909,-0.2240831210816794,False,True,1.919563998097148
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,0.6638610320657843,1,5,347077,-0.0164441594700401,False,True,3.1598334123861687
27,0,3,"Emir, Mr. Farred Chehab",0,-0.1046374011471275,0,0,2631,-0.5029485386158568,False,False,-0.5609748304808925
28,0,1,"Fortune, Mr. Charles Alexander",0,-0.7962859910387481,3,2,19950,4.647001076532463,False,True,2.5396987052416584
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,-0.1046374011471275,0,0,330959,-0.489776426258394,True,False,-0.5609748304808925
30,0,3,"Todoroff, Mr. Lalio",0,-0.1046374011471275,0,0,349216,-0.4894421904510968,False,True,-0.5609748304808925
31,0,1,"Uruchurtu, Don. Manuel E",0,0.8175607187083667,0,0,PC 17601,-0.0902720169770847,False,False,-0.5609748304808925
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,-0.1046374011471275,1,0,PC 17569,2.301728820789,False,False,0.0591598766636176
33,1,3,"Glynn, Miss. Mary Agatha",1,-0.1046374011471275,0,0,335677,-0.4923778278429006,True,False,-0.5609748304808925
34,0,2,"Wheadon, Mr. Edward H",0,2.8156566450619374,0,0,C.A. 24579,-0.4370074380797968,False,True,-0.5609748304808925
35,0,1,"Meyer, Mr. Edgar Joseph",0,-0.1046374011471275,1,0,PC 17604,1.0060617003323709,False,False,0.0591598766636176
36,0,1,"Holverson, Mr. Alexander Oskar",0,0.9712604053509488,1,0,113789,0.3985820801634062,False,True,0.0591598766636176
37,1,3,"Mamee, Mr. Hanna",0,-0.1046374011471275,0,0,2677,-0.5028639729296732,False,False,-0.5609748304808925
38,0,3,"Cann, Mr. Ernest Charles",0,-0.6425863043961658,0,0,A./5. 2152,-0.4863374216869257,False,True,-0.5609748304808925
39,0,3,"Vander Planke, Miss. Augusta Maria",1,-0.8731358343600393,2,0,345764,-0.2859972841804228,False,True,0.6792945838081278
40,1,3,"Nicola-Yarred, Miss. Jamila",1,-1.180535207645204,1,0,2651,-0.422073540593508,False,False,0.0591598766636176
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,0.8175607187083667,1,0,7546,-0.4576454924460446,False,True,0.0591598766636176
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,-0.1814872444684187,1,0,11668,-0.2255932226206731,False,True,0.0591598766636176
43,0,3,"Kraeff, Mr. Theodor",0,-0.1046374011471275,0,0,349253,-0.4894421904510968,False,False,-0.5609748304808925
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",1,-2.025883484179407,1,2,SC/Paris 2123,0.1887625319294599,False,False,1.299429290952638
45,1,3,"Devaney, Miss. Margaret Delia",1,-0.7962859910387481,0,0,330958,-0.489776426258394,True,False,-0.5609748304808925
46,0,3,"Rogers, Mr. William John",0,-0.1046374011471275,0,0,S.C./A.4. 23567,-0.4863374216869257,False,True,-0.5609748304808925
47,0,3,"Lennon, Mr. Denis",0,-0.1046374011471275,1,0,370371,-0.3363340021468808,True,False,0.0591598766636176
48,1,3,"O'Driscoll, Miss. Bridget",1,-0.1046374011471275,0,0,14311,-0.4923778278429006,True,False,-0.5609748304808925
49,0,3,"Samaan, Mr. Youssef",0,-0.1046374011471275,2,0,2662,-0.2119177430835458,False,False,0.6792945838081278
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,-0.8731358343600393,1,0,349237,-0.2900242216177394,False,True,0.0591598766636176
51,0,3,"Panula, Master. Juha Niilo",0,-1.7184841108942424,4,1,3101295,0.1506737441786005,False,True,2.5396987052416584
52,0,3,"Nosworthy, Mr. Richard Cater",0,-0.6425863043961658,0,0,A/4. 39886,-0.4913710934835715,False,True,-0.5609748304808925
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,1.5092093085999871,1,0,PC 17572,0.8964967865378598,False,False,0.0591598766636176
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,-0.0277875578258363,1,0,2926,-0.1249197866877571,False,True,0.0591598766636176
55,0,1,"Ostby, Mr. Engelhart Cornelius",0,2.738806801740646,0,1,113509,0.5995101505357573,False,False,0.0591598766636176
56,1,1,"Woolner, Mr. Hugh",0,-0.1046374011471275,0,0,19947,0.0663597415847833,False,True,-0.5609748304808925
57,1,2,"Rugg, Miss. Emily",1,-0.6425863043961658,0,0,C.A. 31026,-0.4370074380797968,False,True,-0.5609748304808925
58,0,3,"Novel, Mr. Mansouer",0,-0.0662124794864819,0,0,2697,-0.5028639729296732,False,False,-0.5609748304808925
59,1,2,"West, Miss. Constance Mirium",1,-1.8721837975368247,1,2,C.A. 34651,-0.0896840841112365,False,True,1.299429290952638
60,0,3,"Goodwin, Master. William Frederick",0,-1.4110847376090776,5,2,CA 2144,0.2958951755118318,False,True,3.779968119530679
61,0,3,"Sirayanian, Mr. Orsen",0,-0.5657364610748746,0,0,2669,-0.5028639729296732,False,False,-0.5609748304808925
62,1,1,"Icard, Miss. Amelie",1,0.6638610320657843,0,0,113572,0.962353321387736,False,True,-0.5609748304808925
63,0,1,"Harris, Mr. Henry Birkhardt",0,1.2018099353148226,1,0,36973,1.0323213593611125,False,True,0.0591598766636176
64,0,3,"Skoog, Master. Harald",0,-1.949033640858116,3,2,347088,-0.086663881033249,False,True,2.5396987052416584
65,0,1,"Stewart, Mr. Albert A",0,-0.1046374011471275,0,0,PC 17605,-0.0902720169770847,False,False,-0.5609748304808925
66,1,3,"Moubarek, Master. Gerios",0,-0.1046374011471275,1,1,2661,-0.3414522396297103,False,False,0.6792945838081278
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",1,-0.0277875578258363,0,0,C.A. 29395,-0.4370074380797968,False,True,-0.5609748304808925
68,0,3,"Crease, Mr. Ernest James",0,-0.7962859910387481,0,0,S.P. 3464,-0.4841568350646187,False,True,-0.5609748304808925
69,1,3,"Andersson, Miss. Erna Alexandra",1,-0.9499856776813304,4,2,3101281,-0.4888542575852486,False,True,3.1598334123861687
70,0,3,"Kink, Mr. Vincenz",0,-0.2583370877897099,2,0,315151,-0.4740049257851434,False,True,0.6792945838081278
71,0,2,"Jenkin, Mr. Stephen Curnow",0,0.2027619721380371,0,0,C.A. 33111,-0.4370074380797968,False,True,-0.5609748304808925
72,0,3,"Goodwin, Miss. Lillian Amy",1,-1.0268355210026217,5,2,CA 2144,0.2958951755118318,False,True,3.779968119530679
73,0,2,"Hood, Mr. Ambrose Jr",0,-0.6425863043961658,0,0,S.O.C. 14879,0.8314778546749452,False,True,-0.5609748304808925
74,0,3,"Chronopoulos, Mr. Apostolos",0,-0.2583370877897099,1,0,2680,-0.3573908580066095,False,False,0.0591598766636176
75,1,3,"Bing, Mr. Lee",0,0.2027619721380371,0,0,1601,0.489103606816847,False,True,-0.5609748304808925
76,0,3,"Moen, Mr. Sigurd Hansen",0,-0.335186931111001,0,0,348123,-0.494391296561559,False,True,-0.5609748304808925
77,0,3,"Staneff, Mr. Ivan",0,-0.1046374011471275,0,0,349208,-0.4894421904510968,False,True,-0.5609748304808925
78,0,3,"Moutal, Mr. Rahamin Haim",0,-0.1046374011471275,0,0,374746,-0.4863374216869257,False,True,-0.5609748304808925
79,1,2,"Caldwell, Master. Alden Gates",0,-2.192647644186609,0,2,248738,-0.0645157251280075,False,True,0.6792945838081278
80,1,3,"Dowdell, Miss. Elizabeth",1,0.0490622854954548,0,0,364516,-0.397241430886295,False,True,-0.5609748304808925
81,0,3,"Waelens, Mr. Achille",0,-0.5657364610748746,0,0,345767,-0.4672094688596716,False,True,-0.5609748304808925
82,1,3,"Sheerlinck, Mr. Jan Baptist",0,-0.0277875578258363,0,0,345779,-0.45714212526638,False,True,-0.5609748304808925
83,1,3,"McDermott, Miss. Brigdet Delia",1,-0.1046374011471275,0,0,330932,-0.4916227770734037,True,False,-0.5609748304808925
84,0,1,"Carrau, Mr. Francisco M",0,-0.1046374011471275,0,0,113059,0.2999221129491485,False,True,-0.5609748304808925
85,1,2,"Ilett, Miss. Bertha",1,-0.9499856776813304,0,0,SO/C 14885,-0.4370074380797968,False,True,-0.5609748304808925
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,0.2796118154593283,3,0,3101278,-0.3292868616315766,False,True,1.299429290952638
87,0,3,"Ford, Mr. William Neal",0,-1.0268355210026217,1,3,W./C. 6608,0.0437082184998772,False,True,1.919563998097148
88,0,3,"Slocovski, Mr. Selman Francis",0,-0.1046374011471275,0,0,SOTON/OQ 392086,-0.4863374216869257,False,True,-0.5609748304808925
89,1,1,"Fortune, Miss. Mabel Helen",1,-0.4888866177535834,3,2,19950,4.647001076532463,False,True,2.5396987052416584
90,0,3,"Celotti, Mr. Francesco",0,-0.4120367744322922,0,0,343275,-0.4863374216869257,False,True,-0.5609748304808925
91,0,3,"Christmann, Mr. Emil",0,-0.0277875578258363,0,0,343276,-0.4863374216869257,False,True,-0.5609748304808925
92,0,3,"Andreasson, Mr. Paul Edvin",0,-0.719436147717457,0,0,347466,-0.4902797934380587,False,True,-0.5609748304808925
93,0,1,"Chaffee, Mr. Herbert Fuller",0,1.2786597786361138,1,0,W.E.P. 5734,0.5833178351003071,False,True,0.0591598766636176
94,0,3,"Dean, Mr. Bertram Frank",0,-0.2583370877897099,1,2,C.A. 2315,-0.234150464674971,False,True,1.299429290952638
95,0,3,"Coxon, Mr. Daniel",0,2.277707741812899,0,0,364500,-0.5024451714361923,False,True,-0.5609748304808925
96,0,3,"Shorney, Mr. Charles Joseph",0,-0.1046374011471275,0,0,374910,-0.4863374216869257,False,True,-0.5609748304808925
97,0,1,"Goldschmidt, Mr. George B",0,3.1999058616683933,0,0,PC 17754,0.0493298231623713,False,False,-0.5609748304808925
98,1,1,"Greenfield, Mr. William Bertram",0,-0.4888866177535834,0,1,PC 17759,0.6272778976347743,False,False,0.0591598766636176
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",1,0.3564616587806195,0,1,231919,-0.1853238482475067,False,True,0.0591598766636176
100,0,2,"Kantor, Mr. Sinai",0,0.3564616587806195,1,0,244367,-0.1249197866877571,False,True,0.0591598766636176
101,0,3,"Petranec, Miss. Matilda",1,-0.1046374011471275,0,0,349245,-0.4894421904510968,False,True,-0.5609748304808925
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",0,-0.1046374011471275,0,0,349215,-0.4894421904510968,False,True,-0.5609748304808925
103,0,1,"White, Mr. Richard Frasar",0,-0.6425863043961658,0,1,35281,0.907737982394129,False,True,0.0591598766636176
104,0,3,"Johansson, Mr. Gustaf Joel",0,0.2796118154593283,0,0,7540,-0.4741720436887921,False,True,-0.5609748304808925
105,0,3,"Gustafsson, Mr. Anders Vilhelm",0,0.5870111887444931,2,0,3101276,-0.4888542575852486,False,True,0.6792945838081278
106,0,3,"Mionoff, Mr. Stoytcho",0,-0.1046374011471275,0,0,349207,-0.4894421904510968,False,True,-0.5609748304808925
107,1,3,"Salkjelsvik, Miss. Anna Kristine",1,-0.6425863043961658,0,0,343120,-0.494391296561559,False,True,-0.5609748304808925
108,1,3,"Moss, Mr. Albert Johan",0,-0.1046374011471275,0,0,312991,-0.4918744606632361,False,True,-0.5609748304808925
109,0,3,"Rekic, Mr. Tido",0,0.6638610320657843,0,0,349249,-0.4894421904510968,False,True,-0.5609748304808925
110,1,3,"Moran, Miss. Bertha",1,-0.1046374011471275,1,0,371110,-0.1621689579829361,True,False,0.0591598766636176
111,0,1,"Porter, Mr. Walter Chamberlain",0,1.3555096219574048,0,0,110465,0.3985820801634062,False,True,-0.5609748304808925
112,0,3,"Zabour, Miss. Hileni",1,-1.1421102859845584,1,0,2665,-0.3573908580066095,False,False,0.0591598766636176
113,0,3,"Barton, Mr. David John",0,-0.5657364610748746,0,0,324669,-0.4863374216869257,False,True,-0.5609748304808925
114,0,3,"Jussila, Miss. Katriina",1,-0.719436147717457,1,0,4136,-0.4505983519307405,False,True,0.0591598766636176
115,0,3,"Attalah, Miss. Malake",1,-0.9499856776813304,0,0,2627,-0.3573083057891445,False,False,-0.5609748304808925
116,0,3,"Pekoniemi, Mr. Edvard",0,-0.6425863043961658,0,0,STON/O 2. 3101294,-0.4888542575852486,False,True,-0.5609748304808925
117,0,3,"Connors, Mr. Patrick",0,3.161480940007748,0,0,370369,-0.4923778278429006,True,False,-0.5609748304808925
118,0,2,"Turpin, Mr. William John Robert",0,-0.0277875578258363,1,0,11668,-0.2255932226206731,False,True,0.0591598766636176
119,0,1,"Baxter, Mr. Quigg Edmond",0,-0.4120367744322922,0,1,PC 17558,4.335332226633905,False,False,0.0591598766636176
120,0,3,"Andersson, Miss. Ellis Anna Maria",1,-2.1027333275006983,4,2,347082,-0.0187093117785307,False,True,3.1598334123861687
121,0,2,"Hickman, Mr. Stanley George",0,-0.6425863043961658,2,0,S.O.C. 14879,0.8314778546749452,False,True,0.6792945838081278
122,0,3,"Moore, Mr. Leonard Charles",0,-0.1046374011471275,0,0,A4. 54510,-0.4863374216869257,False,True,-0.5609748304808925
123,0,2,"Nasser, Mr. Nicholas",0,0.2411868937986827,1,0,237736,-0.0429555020886142,False,False,0.0591598766636176
124,1,2,"Webber, Miss. Susan",1,0.2411868937986827,0,0,27267,-0.3866707201133388,False,True,-0.5609748304808925
125,0,1,"White, Mr. Percival Wayland",0,1.893458525206443,0,1,35281,0.907737982394129,False,True,0.0591598766636176
126,1,3,"Nicola-Yarred, Master. Elias",0,-1.3342348942877864,1,0,2651,-0.422073540593508,False,False,0.0591598766636176
127,0,3,"McMahon, Mr. Martin",0,-0.1046374011471275,0,0,370372,-0.4923778278429006,True,False,-0.5609748304808925
128,1,3,"Madsen, Mr. Fridtjof Arne",0,-0.4120367744322922,0,0,C 17369,-0.5046257580584992,False,True,-0.5609748304808925
129,1,3,"Peter, Miss. Anna",1,-0.1046374011471275,1,1,2668,-0.1982442770151372,False,False,0.6792945838081278
130,0,3,"Ekstrom, Mr. Johan",0,1.2018099353148226,0,0,347061,-0.5079822104125026,False,True,-0.5609748304808925
131,0,3,"Drazenoic, Mr. Jozef",0,0.2796118154593283,0,0,349241,-0.4894421904510968,False,False,-0.5609748304808925
132,0,3,"Coelho, Mr. Domingos Fernandeo",0,-0.719436147717457,0,0,SOTON/O.Q. 3101307,-0.5064721088735089,False,True,-0.5609748304808925
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,1.3555096219574048,1,0,A/5. 3337,-0.356468689333464,False,True,0.0591598766636176
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,-0.0277875578258363,1,0,228414,-0.1249197866877571,False,True,0.0591598766636176
135,0,2,"Sobey, Mr. Samuel James Hayden",0,-0.335186931111001,0,0,C.A. 29178,-0.3866707201133388,False,True,-0.5609748304808925
136,0,2,"Richard, Mr. Emile",0,-0.4888866177535834,0,0,SC/PARIS 2133,-0.3454791770670269,False,False,-0.5609748304808925
137,1,1,"Newsom, Miss. Helen Monypeny",1,-0.7962859910387481,0,2,11752,-0.1192156298077981,False,True,0.6792945838081278
138,0,1,"Futrelle, Mr. Jacques Heath",0,0.5870111887444931,1,0,113803,0.4207302360686478,False,True,0.0591598766636176
139,0,3,"Osen, Mr. Olaf Elon",0,-1.0268355210026217,0,0,7534,-0.4628462821463391,False,True,-0.5609748304808925
140,0,1,"Giglio, Mr. Victor",0,-0.4120367744322922,0,0,PC 17593,0.9462455716384696,False,False,-0.5609748304808925
141,0,3,"Boulos, Mrs. Joseph (Sultana)",1,-0.1046374011471275,0,2,2678,-0.3414522396297103,False,False,0.6792945838081278
142,1,3,"Nysten, Miss. Anna Sofia",1,-0.5657364610748746,0,0,347081,-0.4923778278429006,False,True,-0.5609748304808925
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,-0.4120367744322922,1,0,STON/O2. 3101279,-0.3292868616315766,False,True,0.0591598766636176
144,0,3,"Burke, Mr. Jeremiah",0,-0.7962859910387481,0,0,365222,-0.5125125150294839,True,False,-0.5609748304808925
145,0,2,"Andrew, Mr. Edgardo Samuel",0,-0.8731358343600393,0,0,231945,-0.4168727508932136,False,True,-0.5609748304808925
146,0,2,"Nicholls, Mr. Joseph Charles",0,-0.7962859910387481,1,1,C.A. 33112,0.0915281005680123,False,True,0.6792945838081278
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",0,-0.1814872444684187,0,0,350043,-0.4914556591697551,False,True,-0.5609748304808925
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",1,-1.56478442425166,2,2,W./C. 6608,0.0437082184998772,False,True,1.919563998097148
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",0,0.5485862670838475,0,2,230080,-0.1249197866877571,False,True,0.6792945838081278
150,0,2,"Byles, Rev. Thomas Roussel Davids",0,0.9712604053509488,0,0,244310,-0.3866707201133388,False,True,-0.5609748304808925
151,0,2,"Bateman, Rev. Robert James",0,1.6629089952425695,0,0,S.O.P. 1166,-0.3962346965269658,False,True,-0.5609748304808925
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",1,-0.5657364610748746,1,0,113776,0.6925485130875209,False,True,0.0591598766636176
153,0,3,"Meo, Mr. Alfonzo",0,2.00873329018838,0,0,A.5. 11206,-0.4863374216869257,False,True,-0.5609748304808925
154,0,3,"van Billiard, Mr. Austin Blyler",0,0.8559856403690123,0,2,A/5. 851,-0.356468689333464,False,True,0.6792945838081278
155,0,3,"Olsen, Mr. Ole Martin",0,-0.1046374011471275,0,0,Fa 265302,-0.5011867534870308,False,True,-0.5609748304808925
156,0,1,"Williams, Mr. Charles Duane",0,1.6629089952425695,0,1,PC 17597,0.5874293382238074,False,False,0.0591598766636176
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",1,-1.0268355210026217,0,0,35851,-0.4927140771189165,True,False,-0.5609748304808925
158,0,3,"Corn, Mr. Harry",0,0.0490622854954548,0,0,SOTON/OQ 392090,-0.4863374216869257,False,True,-0.5609748304808925
159,0,3,"Smiljanic, Mr. Mile",0,-0.1046374011471275,0,0,315037,-0.4740049257851434,False,True,-0.5609748304808925
160,0,3,"Sage, Master. Thomas Henry",0,-0.1046374011471275,8,2,CA. 2343,0.7519458402879414,False,True,5.64037224096421
161,0,3,"Cribb, Mr. John Hatfield",0,1.1249600919935314,0,1,371362,-0.3242531898349308,False,True,0.0591598766636176
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,0.8175607187083667,0,0,C.A. 33595,-0.331300330350235,False,True,-0.5609748304808925
163,0,3,"Bengtsson, Mr. John Viktor",0,-0.2583370877897099,0,0,347068,-0.4918744606632361,False,True,-0.5609748304808925
164,0,3,"Calic, Mr. Jovo",0,-0.9499856776813304,0,0,315093,-0.4740049257851434,False,True,-0.5609748304808925
165,0,3,"Panula, Master. Eino Viljami",0,-2.179583170821989,4,1,3101295,0.1506737441786005,False,True,2.5396987052416584
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",0,-1.56478442425166,0,2,363291,-0.2351571990343002,False,True,0.6792945838081278
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",1,-0.1046374011471275,0,1,113505,0.4589861417231558,False,True,0.0591598766636176
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,1.2018099353148226,1,4,347088,-0.086663881033249,False,True,2.5396987052416584
169,0,1,"Baumann, Mr. John D",0,-0.1046374011471275,0,0,PC 17318,-0.1264298882267508,False,True,-0.5609748304808925
170,0,3,"Ling, Mr. Lee",0,-0.1046374011471275,0,0,1601,0.489103606816847,False,True,-0.5609748304808925
171,0,1,"Van der hoef, Mr. Wyckoff",0,2.4314074284554814,0,0,111240,0.0260903672116169,False,True,-0.5609748304808925
172,0,3,"Rice, Master. Arthur",0,-1.949033640858116,4,1,382652,-0.0619988892296846,True,False,2.5396987052416584
173,1,3,"Johnson, Miss. Eleanor Ileen",1,-2.179583170821989,1,1,347742,-0.4242561406845337,False,True,0.6792945838081278
174,0,3,"Sivola, Mr. Antti Wilhelm",0,-0.6425863043961658,0,0,STON/O 2. 3101280,-0.4888542575852486,False,True,-0.5609748304808925
175,0,1,"Smith, Mr. James Clinch",0,2.047158211849025,0,0,17764,-0.0303713225969997,False,False,-0.5609748304808925
176,0,3,"Klasen, Mr. Klas Albin",0,-0.8731358343600393,1,1,350404,-0.4902797934380587,False,True,0.6792945838081278
177,0,3,"Lefebre, Master. Henry Forbes",0,-0.1046374011471275,3,1,4133,-0.1356576153643619,False,True,1.919563998097148
178,0,1,"Isham, Miss. Ann Elizabeth",1,1.5860591519212783,0,0,PC 17595,-0.0703044476941502,False,False,-0.5609748304808925
179,0,2,"Hale, Mr. Reginald",0,0.0490622854954548,0,0,250653,-0.3866707201133388,False,True,-0.5609748304808925
180,0,3,"Leonard, Mr. Lionel",0,0.5101613454232019,0,0,LINE,-0.6484216535389205,False,True,-0.5609748304808925
181,0,3,"Sage, Miss. Constance Gladys",1,-0.1046374011471275,8,2,CA. 2343,0.7519458402879414,False,True,5.64037224096421
182,0,2,"Pernot, Mr. Rene",0,-0.1046374011471275,0,0,SC/PARIS 2131,-0.3453946113808432,False,False,-0.5609748304808925
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",0,-1.56478442425166,4,2,347077,-0.0164441594700401,False,True,3.1598334123861687
184,1,2,"Becker, Master. Richard F",0,-2.179583170821989,2,1,230136,0.1368311467378245,False,True,1.299429290952638
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",1,-1.949033640858116,0,2,315153,-0.2049551682544254,False,True,0.6792945838081278
186,0,1,"Rood, Mr. Hugh Roscoe",0,-0.1046374011471275,0,0,113767,0.3583127057902398,False,True,-0.5609748304808925
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1,-0.1046374011471275,1,0,370365,-0.3363340021468808,True,False,0.0591598766636176
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",0,1.2018099353148226,0,0,111428,-0.1138457087351363,False,True,-0.5609748304808925
189,0,3,"Bourke, Mr. John",0,0.8175607187083667,1,1,364849,-0.3363340021468808,True,False,0.6792945838081278
190,0,3,"Turcin, Mr. Stjepan",0,0.5101613454232019,0,0,349247,-0.4894421904510968,False,True,-0.5609748304808925
191,1,2,"Pinsky, Mrs. (Rosa)",1,0.2027619721380371,0,0,234604,-0.3866707201133388,False,True,-0.5609748304808925
192,0,2,"Carbines, Mr. William",0,-0.7962859910387481,0,0,28424,-0.3866707201133388,False,True,-0.5609748304808925
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",1,-0.7962859910387481,1,0,350046,-0.4902797934380587,False,True,0.0591598766636176
194,1,2,"Navratil, Master. Michel M",0,-2.025883484179407,1,1,230080,-0.1249197866877571,False,True,0.6792945838081278
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",1,1.1249600919935314,0,0,PC 17610,-0.0902720169770847,False,False,-0.5609748304808925
196,1,1,"Lurette, Miss. Elise",1,2.200857898491608,0,0,PC 17569,2.301728820789,False,False,-0.5609748304808925
197,0,3,"Mernagh, Mr. Robert",0,-0.1046374011471275,0,0,368703,-0.4923778278429006,True,False,-0.5609748304808925
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",0,0.9712604053509488,0,1,4579,-0.4792057154854379,False,True,0.0591598766636176
199,1,3,"Madigan, Miss. Margaret ""Maggie""",1,-0.1046374011471275,0,0,370370,-0.4923778278429006,True,False,-0.5609748304808925
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",1,-0.4120367744322922,0,0,248747,-0.3866707201133388,False,True,-0.5609748304808925
201,0,3,"Vande Walle, Mr. Nestor Cyriel",0,-0.1046374011471275,0,0,345770,-0.45714212526638,False,True,-0.5609748304808925
202,0,3,"Sage, Mr. Frederick",0,-0.1046374011471275,8,2,CA. 2343,0.7519458402879414,False,True,5.64037224096421
203,0,3,"Johanson, Mr. Jakob Alfred",0,0.3564616587806195,0,0,3101264,-0.5176307525123133,False,True,-0.5609748304808925
